burst_behavior,burst_index,cv,freq_variance,kurtosis,modalirity_burst,name,nu,pause_index,pause_ratio,skewness,temp,x,y
0.0,0.0,0.660176163555,96.5909090909,4.66730958895,0.0,Cell#098,0.741561755522,3.19047619048,5.28096836897,1.30979277841,24.0,482.3,201.0
0.0,0.0,0.827504058641,98.311546841,6.43342333908,0.0,Cell#099,1.00964115282,18.0,75.2357142857,1.71735988632,24.0,488.1,183.8
0.0,0.0,1.06823919983,98.4226190476,4.25925103111,0.0,Cell#102,1.21088605977,1.0,1.0,1.56756275659,24.0,499.6,238.3
0.0,0.0,1.47201563718,99.7037663986,8.03122101565,0.0,Cell#108,1.39489927202,3.6,31.3707317073,2.38086482945,24.0,525.4,209.6
0.0,0.0,0.776144642605,98.0250481696,2.82661320684,0.0,Cell#121,0.988489042513,23.0,135.24822695,0.815201983505,24.0,602.9,143.6
0.0,0.0,0.665890748967,98.9421987155,2.15904469235,0.0,Cell#122,0.823339573135,11.0,119.609375,0.127021455448,24.0,625.9,189.5
0.0,0.0,1.12131167783,99.4988864143,5.30185225254,0.0,Cell#125,1.41078391744,7.0,57.5697674419,1.65355764482,24.0,640.3,206.7
0.0,0.0,1.1633186911,98.2696897375,4.53685969445,0.0,Cell#126,0.862381730151,21.0,75.0575539568,1.61627109812,24.0,648.9,180.9
0.0,0.0,1.15939588515,98.4466019417,5.24197339487,0.0,Cell#130,0.823836775738,3.05,8.94631131711,1.77933673294,24.0,680.4,80.4
0.0,0.0,0.592717549409,93.3067729084,3.20037341968,0.0,Cell#131,0.708379297559,1.0,1.0,0.865220795944,24.0,689.1,100.5
0.0,0.0,0.77902002118,99.3722536095,3.65928509545,0.0,Cell#017,1.10118613879,14.0,143.766666667,1.09206422625,24.0,91.9,132.1
0.0,0.0,1.29855867326,99.2881228925,18.3902986656,0.0,Cell#018,1.05356819874,5.0,18.1998334721,3.48230847939,24.0,100.5,238.3
0.0,0.0,1.2504435791,98.9496447328,4.39002930885,0.0,Cell#026,1.40264518928,17.0,109.432835821,1.60211719202,24.0,134.9,192.4
0.0,0.0,1.28441128928,99.5241332427,3.50515612548,0.0,Cell#029,1.16219580041,7.0,48.2585751979,1.37324627167,24.0,149.3,238.3
0.0,0.0,1.47999169275,99.449618967,16.4821926022,0.0,Cell#043,0.876296286082,32.0,104.558441558,3.62193691291,24.0,201.0,255.5
0.0,0.0,0.95248301258,97.7777777778,10.5148431847,0.0,Cell#053,0.87521796253,10.2857142857,25.6531914894,2.5505270779,24.0,232.6,264.1
0.0,0.0,1.31244939472,97.3021582734,3.81961021388,0.0,Cell#057,1.42443377014,1.0,1.0,1.57933026649,24.0,246.9,284.2
0.0,0.0,1.38200262845,98.9438943894,6.7105537256,0.0,Cell#069,1.48571905899,17.0,113.074324324,2.14659984277,24.0,307.2,218.2
0.0,0.0,1.11193714381,99.0774907749,2.9120953677,0.0,Cell#074,0.97542052063,25.0,161.3,1.27718908182,24.0,344.5,241.2
0.0,0.0,0.868260934086,97.5991649269,6.90423609203,0.0,Cell#080,0.788645101378,25.6666666667,65.7157622739,2.03202751922,24.0,393.3,278.5
0.0,0.0,1.59352612534,98.3134697549,11.4172481443,0.0,Cell#082,1.30189570544,1.0,1.0,3.01991648451,24.0,419.2,298.6
0.0,0.0,1.06366292744,99.1469194313,8.68987304121,0.0,Cell#096,1.04435388925,20.0,83.7590361446,2.30763256392,24.0,491.0,307.2
0.0,0.0,2.39891746197,99.6151308555,13.9796937646,0.0,Cell#103,1.55358421872,19.0,140.222222222,3.50952087742,24.0,539.8,298.6
0.0,0.0,0.953125882261,98.3848314607,7.19557964355,0.0,Cell#039,0.984132279838,8.4,27.9804511278,1.86432070736,24.0,275.6,114.8
0.0,0.0,1.03271054841,98.9697158914,9.11192359549,0.0,Cell#073,1.23481709942,25.0,144.796992481,2.30643937511,24.0,502.4,126.3
0.0,0.0,1.01266582077,97.7524810274,2.5668048096,0.0,Cell#090,1.02422123769,1.0,1.0,0.873598768304,24.0,580.0,215.3
0.0,0.0,1.23333301859,99.0887613905,4.44295816603,0.0,Cell#119,1.29720563207,18.0,122.031496063,1.6326351746,24.0,726.4,198.1
0.0,0.0,0.799411742801,98.7357013847,3.17628813073,0.0,Cell#011,1.0938471709,14.0,128.774647887,0.761358682546,28.0,28.7,172.3
0.0,0.0,0.714450859901,99.1329479769,3.76961310643,0.0,Cell#023,1.04779450925,14.0,140.779527559,1.08480557425,28.0,68.9,221.1
0.0,0.0,0.786852849802,98.9754650849,3.39725049728,0.0,Cell#025,1.09050887959,13.0,138.253623188,0.745715301741,28.0,71.8,180.9
0.0,0.0,0.949030988782,98.0120481928,3.45501627776,0.0,Cell#029,0.944843984168,11.6666666667,50.0290556901,1.17155349158,28.0,86.1,201.0
0.0,0.0,2.65785713379,99.8027127004,34.4759974149,0.0116279069767,Cell#031,0.660105502404,1.8064516129,5.49743839961,5.47286151633,28.0,97.6,180.9
0.0,0.0,0.816426599786,98.5480943739,3.55820212438,0.0,Cell#033,1.08340305267,8.5,44.6961538462,1.09757700004,28.0,109.1,172.3
0.0,0.0,2.24989058991,99.2500646496,20.9622808098,0.0,Cell#047,0.799304484062,5.75,19.2344186047,4.31519975047,28.0,143.6,166.5
0.0,0.0,1.66972354802,98.2247020036,13.9295493398,0.0,Cell#048,1.22677092519,1.0,1.0,3.32286551663,28.0,146.4,123.5
0.0,0.0,2.08225288218,99.450405653,26.8586158508,0.0,Cell#051,0.809499223401,3.92307692308,12.588034188,4.69416195226,28.0,155.0,143.6
0.0,0.0,1.22480529311,98.8561693843,7.18549511386,0.0,Cell#055,1.46247261866,17.0,111.414965986,2.13051529316,28.0,183.8,134.9
0.0,0.0,0.746729780178,99.00373599,2.51836003061,0.0,Cell#057,0.974590361293,6.0,40.4293785311,0.553508189351,28.0,189.5,149.3
0.0,0.0,1.13094897484,97.2733037413,5.83065357992,0.0,Cell#064,1.20581289001,1.0,1.0,1.95959225303,28.0,215.3,54.6
0.0,0.0,1.17515538512,99.2058643861,4.69397033828,0.0,Cell#077,0.869239302749,2.92857142857,11.4300489929,1.49792257679,28.0,264.1,106.2
0.0,0.0,1.05902851466,98.5445724682,8.04925315331,0.0,Cell#079,1.15540661714,9.33333333333,32.7928388747,2.15986601676,28.0,272.8,100.5
